ndims,boundsA,boundsB,N,L,activation,num_points,use_sobol,batch_size,lr,lr_scheduler,epoch,time,train MSE_f,test MSE_f,test RMSE_u,lr
2,[0, 1],128,2,sin,100000,True,2048,0.1,ReduceLROnPlateau-0.5-2,87.18,30,9.557e-01,9.716e-01,2.308e-03,1.2e-08
2,[0, 1],128,2,sin,100,False,2048,0.001,None,3381.00,30,4.491e-03,6.311e-02,6.196e-04,1.0e-03
2,[0, 1],128,2,sin,100,True,2048,0.001,None,3209.00,30,3.961e-03,1.224e-02,2.551e-04,1.0e-03
2,[0, 1],128,2,sin,1000,False,2048,0.001,None,3367.00,30,1.060e-02,1.122e-02,1.169e-03,1.0e-03
2,[0, 1],128,2,sin,1000,True,2048,0.001,None,3178.00,30,3.466e-03,3.643e-03,1.333e-04,1.0e-03
2,[0, 1],128,2,sin,10000,False,2048,0.001,None,887.20,30,3.477e-03,3.991e-03,6.824e-04,1.0e-03
2,[0, 1],128,2,sin,10000,True,2048,0.001,None,879.00,30,4.630e-03,1.071e-02,1.528e-03,1.0e-03
2,[0, 1],128,2,sin,100000,False,2048,0.001,None,91.23,30,4.994e-03,3.488e-03,6.664e-04,1.0e-03
2,[0, 1],128,2,sin,100000,True,2048,0.001,None,89.14,30,2.610e-03,2.698e-03,3.286e-04,1.0e-03
2,[0, 1],128,2,sin,100,False,2048,0.1,ReduceLROnPlateau-0.1-10,3419.00,30,1.530e-01,2.571e+00,2.439e-02,1.0e-08
2,[0, 1],128,2,sin,100,True,2048,0.1,ReduceLROnPlateau-0.1-10,3254.00,30,2.534e-03,1.198e-02,1.610e-04,1.0e-08
2,[0, 1],128,2,sin,1000,False,2048,0.1,ReduceLROnPlateau-0.1-10,3413.00,30,4.047e-04,4.504e-04,6.273e-05,1.0e-08
2,[0, 1],128,2,sin,1000,True,2048,0.1,ReduceLROnPlateau-0.1-10,3218.00,30,4.386e-04,4.115e-04,3.995e-05,1.0e-03
2,[0, 1],128,2,sin,10000,False,2048,0.1,ReduceLROnPlateau-0.1-10,898.00,30,2.747e-01,2.694e-01,1.250e-03,1.0e-03
2,[0, 1],128,2,sin,10000,True,2048,0.1,ReduceLROnPlateau-0.1-10,875.00,30,3.110e-04,3.134e-04,3.103e-05,1.0e-08
2,[0, 1],128,2,sin,100000,False,2048,0.1,ReduceLROnPlateau-0.1-10,92.23,30,1.324e+03,1.341e+03,3.925e-01,1.0e-08
2,[0, 1],128,2,sin,100000,True,2048,0.1,ReduceLROnPlateau-0.1-10,89.70,30,2.880e+01,2.877e+01,4.502e-02,1.0e-08
5,[0, 1],512,1,sin,100000,True,64,0.0001,None,37.74,300,1.206e+03,1.218e+03,1.777e-01,1.0e-04
5,[0, 1],512,1,sin,100000,True,64,0.001,None,38.01,300,1.213e+03,1.218e+03,1.777e-01,1.0e-03
5,[0, 1],512,1,sin,100000,True,64,0.01,None,38.34,300,1.205e+03,1.218e+03,1.777e-01,1.0e-02
5,[0, 1],512,1,sin,100000,True,64,0.1,None,38.36,300,8.683e+01,4.708e+01,3.733e-02,1.0e-01
5,[0, 1],512,1,sin,100000,True,128,0.0001,None,76.06,300,1.207e+03,1.218e+03,1.777e-01,1.0e-04
5,[0, 1],512,1,sin,100000,True,128,0.001,None,76.00,300,1.205e+03,1.218e+03,1.777e-01,1.0e-03
5,[0, 1],512,1,sin,100000,True,128,0.01,None,76.08,300,1.208e+03,1.218e+03,1.777e-01,1.0e-02
5,[0, 1],512,1,sin,100000,True,128,0.1,None,75.94,300,4.972e+01,5.846e+00,1.159e-02,1.0e-01
5,[0, 1],512,1,sin,100000,True,256,0.0001,None,149.49,300,1.206e+03,1.218e+03,1.777e-01,1.0e-04
5,[0, 1],512,1,sin,100000,True,256,0.001,None,149.33,300,1.205e+03,1.218e+03,1.777e-01,1.0e-03
5,[0, 1],512,1,sin,100000,True,256,0.01,None,149.30,300,1.206e+03,1.218e+03,1.777e-01,1.0e-02
5,[0, 1],512,1,sin,100000,True,256,0.1,None,149.39,300,1.553e+01,3.747e+01,4.385e-02,1.0e-01
5,[0, 1],512,1,sin,100000,True,512,0.0001,None,290.27,300,1.206e+03,1.218e+03,1.777e-01,1.0e-04
5,[0, 1],512,1,sin,100000,True,512,0.001,None,290.09,300,1.184e+03,1.194e+03,1.759e-01,1.0e-03
5,[0, 1],512,1,sin,100000,True,512,0.01,None,289.88,300,4.076e-01,3.957e-01,2.108e-03,1.0e-02
5,[0, 1],512,1,sin,100000,True,512,0.1,None,290.05,300,4.947e-01,4.943e-01,1.418e-03,1.0e-01
5,[0, 1],512,1,sin,100000,True,1024,0.0001,None,532.79,300,1.206e+03,1.218e+03,1.777e-01,1.0e-04
5,[0, 1],512,1,sin,100000,True,1024,0.001,None,533.00,300,1.149e+03,1.161e+03,1.733e-01,1.0e-03
5,[0, 1],512,1,sin,100000,True,1024,0.01,None,533.00,300,2.374e-01,2.248e-01,1.361e-03,1.0e-02
5,[0, 1],512,1,sin,100000,True,1024,0.1,None,532.60,300,6.020e-01,1.524e+00,1.027e-02,1.0e-01
5,[0, 1],512,1,sin,100000,True,2048,0.0001,None,797.72,300,1.206e+03,1.218e+03,1.777e-01,1.0e-04
5,[0, 1],512,1,sin,100000,True,2048,0.001,None,797.29,300,1.126e+03,1.137e+03,1.713e-01,1.0e-03
5,[0, 1],512,1,sin,100000,True,2048,0.01,None,797.06,300,1.736e-01,1.728e-01,1.325e-03,1.0e-02
5,[0, 1],512,1,sin,100000,True,2048,0.1,None,797.29,300,1.576e-01,1.526e-01,9.410e-04,1.0e-01
5,[0, 1],512,1,sin,100000,True,4096,0.0001,None,1025.00,300,1.205e+03,1.218e+03,1.777e-01,1.0e-04
5,[0, 1],512,1,sin,100000,True,4096,0.001,None,1025.37,300,1.107e+03,1.119e+03,1.698e-01,1.0e-03
5,[0, 1],512,1,sin,100000,True,4096,0.01,None,1025.00,300,3.926e-01,3.857e-01,1.367e-03,1.0e-02
5,[0, 1],512,1,sin,100000,True,4096,0.1,None,1025.45,300,4.242e-01,3.964e-01,4.037e-03,1.0e-01
2,[0, 1],128,2,sin,10000,True,64,0.01,ExponentialLR-0.95,30.86,30,1.269e-02,1.138e-02,1.721e-03,2.1e-03
2,[0, 1],128,2,sin,10000,True,64,0.01,ReduceLROnPlateau-0.1-10,31.08,30,7.337e-01,2.042e-01,6.089e-03,1.0e-02
2,[0, 1],128,2,sin,10000,True,64,0.01,ReduceLROnPlateau-0.5-2,31.01,30,2.715e-03,2.722e-03,4.386e-04,3.1e-04
2,[0, 1],128,2,sin,10000,True,128,0.01,ExponentialLR-0.95,61.13,30,8.008e-04,8.026e-04,2.133e-04,4.4e-04
2,[0, 1],128,2,sin,10000,True,128,0.01,ReduceLROnPlateau-0.1-10,61.14,30,7.659e-04,7.413e-04,1.028e-04,1.0e-03
2,[0, 1],128,2,sin,10000,True,128,0.01,ReduceLROnPlateau-0.5-2,61.24,30,9.851e-04,9.678e-04,8.957e-05,1.6e-04
2,[0, 1],128,2,sin,10000,True,256,0.01,ExponentialLR-0.95,120.31,30,2.038e-03,1.997e-03,1.008e-04,2.1e-05
2,[0, 1],128,2,sin,10000,True,256,0.01,ReduceLROnPlateau-0.1-10,120.64,30,1.707e-03,1.162e-03,1.379e-04,1.0e-04
2,[0, 1],128,2,sin,10000,True,256,0.01,ReduceLROnPlateau-0.5-2,120.49,30,2.151e-03,2.074e-03,1.371e-04,1.6e-04
2,[0, 1],128,2,sin,10000,True,512,0.01,ExponentialLR-0.95,236.97,30,3.201e-03,3.202e-03,1.101e-04,5.5e-08
2,[0, 1],128,2,sin,10000,True,512,0.01,ReduceLROnPlateau-0.1-10,236.82,30,1.079e-03,6.280e-04,7.258e-05,1.0e-03
2,[0, 1],128,2,sin,10000,True,512,0.01,ReduceLROnPlateau-0.5-2,236.97,30,7.095e-04,7.023e-04,5.293e-05,1.6e-04
2,[0, 1],128,2,sin,10000,True,1024,0.01,ExponentialLR-0.95,456.92,30,1.961e-02,1.970e-02,3.394e-04,6.9e-13
2,[0, 1],128,2,sin,10000,True,1024,0.01,ReduceLROnPlateau-0.1-10,458.00,30,9.767e-04,9.786e-04,5.961e-05,1.0e-04
2,[0, 1],128,2,sin,10000,True,1024,0.01,ReduceLROnPlateau-0.5-2,457.72,30,1.215e-03,7.372e-04,5.524e-05,7.8e-05
2,[0, 1],128,2,sin,10000,True,2048,0.01,ExponentialLR-0.95,862.61,30,6.968e-02,7.091e-02,7.458e-04,6.3e-22
2,[0, 1],128,2,sin,10000,True,2048,0.01,ReduceLROnPlateau-0.1-10,863.20,30,1.974e-03,1.978e-03,8.510e-05,1.0e-04
2,[0, 1],128,2,sin,10000,True,2048,0.01,ReduceLROnPlateau-0.5-2,863.20,30,1.546e-03,1.562e-03,7.421e-05,7.8e-05
2,[0, 1],128,2,sin,10000,True,4096,0.01,ExponentialLR-0.95,1317.00,30,2.935e-01,3.039e-01,3.178e-03,4.8e-32
2,[0, 1],128,2,sin,10000,True,4096,0.01,ReduceLROnPlateau-0.1-10,1320.00,30,1.338e-03,1.005e-03,5.947e-05,1.0e-04
2,[0, 1],128,2,sin,10000,True,4096,0.01,ReduceLROnPlateau-0.5-2,1321.41,30,2.693e-03,1.909e-03,8.457e-05,3.1e-04
5,[0, 1],512,1,sin,100000,True,64,1,None,37.86,300,5.231e+06,1.151e+07,1.798e-01,1.0e+00
5,[0, 1],512,1,sin,100000,True,128,1,None,75.16,300,4.501e+06,6.741e+06,1.807e-01,1.0e+00
5,[0, 1],512,1,sin,100000,True,256,1,None,148.50,300,8.579e+05,1.689e+06,1.809e-01,1.0e+00
5,[0, 1],512,1,sin,100000,True,512,1,None,289.56,300,1.799e+05,1.772e+05,1.781e-01,1.0e+00
5,[0, 1],512,1,sin,100000,True,1024,1,None,534.37,300,2.012e+04,2.033e+04,1.778e-01,1.0e+00
5,[0, 1],512,1,sin,100000,True,2048,1,None,798.72,300,1.027e+03,8.190e+02,8.623e-02,1.0e+00
5,[0, 1],512,1,sin,100000,True,4096,1,None,1026.66,300,8.347e+01,2.394e+01,2.122e-02,1.0e+00
5,[0, 1],512,1,sin,100000,True,64,0.1,ExponentialLR-0.95,37.75,300,7.274e-01,5.547e-01,2.634e-03,1.5e-02
5,[0, 1],512,1,sin,100000,True,64,0.1,ReduceLROnPlateau-0.1-10,37.96,300,1.898e+00,1.128e+01,2.372e-02,1.0e-02
5,[0, 1],512,1,sin,100000,True,64,0.1,ReduceLROnPlateau-0.5-2,38.08,300,3.986e-01,3.796e-01,1.492e-03,1.6e-03
5,[0, 1],512,1,sin,100000,True,128,0.1,ExponentialLR-0.95,75.39,300,4.551e-01,4.512e-01,1.854e-03,2.1e-03
5,[0, 1],512,1,sin,100000,True,128,0.1,ReduceLROnPlateau-0.1-10,75.41,300,1.111e+00,3.623e-01,2.560e-03,1.0e-02
5,[0, 1],512,1,sin,100000,True,128,0.1,ReduceLROnPlateau-0.5-2,75.42,300,3.227e-01,4.249e-01,3.661e-03,3.1e-03
5,[0, 1],512,1,sin,100000,True,256,0.1,ExponentialLR-0.95,148.48,300,3.807e-01,3.813e-01,1.213e-03,5.0e-05
5,[0, 1],512,1,sin,100000,True,256,0.1,ReduceLROnPlateau-0.1-10,148.33,300,3.984e-01,3.981e-01,1.253e-03,1.0e-04
5,[0, 1],512,1,sin,100000,True,256,0.1,ReduceLROnPlateau-0.5-2,148.46,300,3.802e-01,3.817e-01,1.708e-03,1.6e-03
5,[0, 1],512,1,sin,100000,True,512,0.1,ExponentialLR-0.95,287.16,300,3.895e-01,3.889e-01,1.212e-03,4.0e-08
5,[0, 1],512,1,sin,100000,True,512,0.1,ReduceLROnPlateau-0.1-10,287.19,300,4.141e-01,4.133e-01,1.269e-03,1.0e-04
5,[0, 1],512,1,sin,100000,True,512,0.1,ReduceLROnPlateau-0.5-2,287.24,300,4.212e-01,4.202e-01,1.271e-03,1.2e-08
5,[0, 1],512,1,sin,100000,True,1024,0.1,ExponentialLR-0.95,531.02,300,4.186e-01,4.164e-01,1.259e-03,1.5e-13
5,[0, 1],512,1,sin,100000,True,1024,0.1,ReduceLROnPlateau-0.1-10,531.33,300,4.218e-01,4.211e-01,1.274e-03,1.0e-08
5,[0, 1],512,1,sin,100000,True,1024,0.1,ReduceLROnPlateau-0.5-2,531.36,300,4.253e-01,4.234e-01,1.282e-03,1.2e-08
5,[0, 1],512,1,sin,100000,True,2048,0.1,ExponentialLR-0.95,794.92,300,5.668e+02,5.712e+02,1.180e-01,2.1e-19
5,[0, 1],512,1,sin,100000,True,2048,0.1,ReduceLROnPlateau-0.1-10,794.88,300,4.222e-01,4.212e-01,1.279e-03,1.0e-08
5,[0, 1],512,1,sin,100000,True,2048,0.1,ReduceLROnPlateau-0.5-2,795.00,300,4.271e-01,4.257e-01,1.297e-03,1.2e-08
5,[0, 1],512,1,sin,100000,True,4096,0.1,ExponentialLR-0.95,1023.00,300,1.463e+02,1.468e+02,5.267e-02,1.7e-24
5,[0, 1],512,1,sin,100000,True,4096,0.1,ReduceLROnPlateau-0.1-10,1023.20,300,4.213e-01,4.214e-01,1.274e-03,1.0e-08
5,[0, 1],512,1,sin,100000,True,4096,0.1,ReduceLROnPlateau-0.5-2,1022.78,300,4.257e-01,4.249e-01,1.254e-03,1.2e-08
2,[0, 1],128,2,sin,100,False,512,0.01,ReduceLROnPlateau-0.1-10,3482.00,30,1.122e-01,1.681e-01,1.317e-03,1.0e-08
2,[0, 1],128,2,sin,100,True,512,0.01,ReduceLROnPlateau-0.1-10,3302.00,30,6.597e-03,9.963e-03,2.463e-04,1.0e-08
2,[0, 1],128,2,sin,1000,False,512,0.01,ReduceLROnPlateau-0.1-10,2075.51,30,1.299e-03,1.506e-03,7.974e-05,1.0e-08
2,[0, 1],128,2,sin,1000,True,512,0.01,ReduceLROnPlateau-0.1-10,1979.51,30,1.963e-03,2.195e-03,9.326e-05,1.0e-04
2,[0, 1],128,2,sin,10000,False,512,0.01,ReduceLROnPlateau-0.1-10,250.26,30,1.326e-03,1.401e-03,9.066e-05,1.0e-04
2,[0, 1],128,2,sin,10000,True,512,0.01,ReduceLROnPlateau-0.1-10,236.00,30,1.079e-03,6.280e-04,7.258e-05,1.0e-03
2,[0, 1],128,2,sin,100000,False,512,0.01,ReduceLROnPlateau-0.1-10,25.63,30,1.951e-03,1.903e-03,1.031e-04,1.0e-03
2,[0, 1],128,2,sin,100000,True,512,0.01,ReduceLROnPlateau-0.1-10,24.86,30,3.005e-01,1.813e+00,2.250e-02,1.0e-02
2,[0, 1],128,2,sin,100,False,512,0.001,None,3360.00,30,4.551e-03,6.352e-02,6.243e-04,1.0e-03
2,[0, 1],128,2,sin,100,True,512,0.001,None,3191.00,30,3.987e-03,1.233e-02,2.573e-04,1.0e-03
2,[0, 1],128,2,sin,1000,False,512,0.001,None,1997.00,30,3.601e-03,2.216e-03,2.536e-04,1.0e-03
2,[0, 1],128,2,sin,1000,True,512,0.001,None,1907.00,30,6.494e-03,6.171e-03,9.439e-04,1.0e-03
2,[0, 1],128,2,sin,10000,False,512,0.001,None,240.20,30,7.826e-03,4.295e-03,5.332e-04,1.0e-03
2,[0, 1],128,2,sin,10000,True,512,0.001,None,238.00,30,8.665e-03,3.398e-03,6.053e-04,1.0e-03
2,[0, 1],128,2,sin,100000,False,512,0.001,None,24.56,30,5.650e-03,5.002e-03,1.036e-03,1.0e-03
2,[0, 1],128,2,sin,100000,True,512,0.001,None,23.92,30,7.411e-03,4.287e-03,8.103e-04,1.0e-03
2,[0, 1],128,2,sin,100,False,512,0.0001,None,3448.00,30,6.123e+01,8.012e+01,1.621e-01,1.0e-04
2,[0, 1],128,2,sin,100,True,512,0.0001,None,3262.00,30,5.582e+00,7.210e+00,2.145e-02,1.0e-04
2,[0, 1],128,2,sin,1000,False,512,0.0001,None,2044.51,30,5.662e-01,5.297e-01,4.501e-03,1.0e-04
2,[0, 1],128,2,sin,1000,True,512,0.0001,None,1953.00,30,1.391e+00,1.411e+00,8.621e-03,1.0e-04
2,[0, 1],128,2,sin,10000,False,512,0.0001,None,246.61,30,4.712e-01,4.628e-01,2.654e-03,1.0e-04
2,[0, 1],128,2,sin,10000,True,512,0.0001,None,238.00,30,5.372e-01,5.206e-01,3.717e-03,1.0e-04
