,epoch,elapsed_time,MSE_f_train,MSE_f,RMSE_u,lr,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,config/L,config/N,config/activation,config/batch_size,config/lr,config/lr_scheduler,config/num_points,logdir,should_checkpoint
72,1.0,6.887202739715576,1205.3565875,1208.300039,0.1769973360712481,0.0042,7.447888374328613,False,,,1,cde051ba,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-43-49,1686843829,7.447888374328613,64306,ds28,192.168.3.128,7.447888374328613,0,1,0.0051391124725341,3,480,tanh,2720,0.004200000000000001,ExponentialLR-0.95,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_cde051ba_73_L=3,N=480,activation=tanh,batch_size=2720,lr=0.0042,lr_scheduler=ExponentialLR-0_95,num_points=1000000_2023-06-15_18-43-41",True
73,1.0,1.902444839477539,1205.3943125,1217.69268,0.1776833795317288,0.0129,2.774807929992676,False,,,1,fa7e4372,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-43-52,1686843832,2.774807929992676,64306,ds28,192.168.3.128,2.774807929992676,0,1,0.0051391124725341,3,1120,tanh,4480,0.0129,None,100000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_fa7e4372_74_L=3,N=1120,activation=tanh,batch_size=4480,lr=0.0129,lr_scheduler=None,num_points=100000_2023-06-15_18-43-49",True
74,1.0,65.78517842292786,1205.38222575,1208.299658,0.1769962433669585,0.0352,66.28077530860901,False,,,1,79fbe4b8,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-44-58,1686843898,66.28077530860901,64306,ds28,192.168.3.128,66.28077530860901,0,1,0.0051391124725341,4,96,atan,128,0.0352,None,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_79fbe4b8_75_L=4,N=96,activation=atan,batch_size=128,lr=0.0352,lr_scheduler=None,num_points=1000000_2023-06-15_18-43-52",True
75,29.0,3.134850263595581,1209.310075,1203.8592,0.1766706838091088,9.765625e-07,1.0927073955535889,False,,,29,af58f86f,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_19-03-06,1686844986,5.266648292541504,64306,ds28,192.168.3.128,3.8616819381713863,0,11,0.0051391124725341,1,96,sin,1440,0.0005,ReduceLROnPlateau-0.5-2,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_af58f86f_76_L=1,N=96,activation=sin,batch_size=1440,lr=0.0005,lr_scheduler=ReduceLROnPlateau-0_5-2,num_points=10000_2023-06-15_18-44-59",
76,1.0,104.52558541297913,1205.3558363789064,1208.299533,0.1769959385292763,0.0003,105.01953864097597,False,,,1,9b3317a2,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-46-45,1686844005,105.01953864097597,64306,ds28,192.168.3.128,105.01953864097597,0,1,0.0051391124725341,3,64,atan,64,0.00030000000000000003,None,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_9b3317a2_77_L=3,N=64,activation=atan,batch_size=64,lr=0.0003,lr_scheduler=None,num_points=1000000_2023-06-15_18-45-00",True
77,58.0,9.011932611465454,1185.0132125,1179.3944,0.1748120328414834,0.0002310542477257,0.369089126586914,False,,,62,7ffb959a,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_19-07-52,1686845272,16.105807304382324,64306,ds28,192.168.3.128,11.426397562026978,0,33,0.0051391124725341,2,192,sin,2432,0.004300000000000001,ExponentialLR-0.95,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_7ffb959a_78_L=2,N=192,activation=sin,batch_size=2432,lr=0.0043,lr_scheduler=ExponentialLR-0_95,num_points=10000_2023-06-15_18-46-46",
78,1.0,8.5558602809906,1808.944580527344,1444.38456,0.1776872155841023,0.0048,9.73924732208252,False,,,1,952d58eb,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-46-57,1686844017,9.73924732208252,64306,ds28,192.168.3.128,9.73924732208252,0,1,0.0051391124725341,3,1728,sin,128,0.0048000000000000004,ReduceLROnPlateau-0.5-2,100000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_952d58eb_79_L=3,N=1728,activation=sin,batch_size=128,lr=0.0048,lr_scheduler=ReduceLROnPlateau-0_5-2,num_points=100000_2023-06-15_18-46-48",True
79,45.0,9.267242193222046,1210.2558375,1205.0441,0.1771819367788464,0.0383,0.3813762664794922,False,,,48,2d13d3c1,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_19-08-04,1686845284,15.333187103271484,64306,ds28,192.168.3.128,11.057173013687134,0,31,0.0051391124725341,2,64,ELU,736,0.03830000000000001,None,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_2d13d3c1_80_L=2,N=64,activation=ELU,batch_size=736,lr=0.0383,lr_scheduler=None,num_points=10000_2023-06-15_18-46-58",
80,2.0,16.060879945755005,1202.472565,1206.71245,0.1768121347811268,0.0094049999999999,8.777833700180054,False,,,2,90918603,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_19-08-13,1686845293,17.423560857772827,64306,ds28,192.168.3.128,8.777833700180054,0,1,0.0051391124725341,2,576,atan,3232,0.009899999999999999,ExponentialLR-0.95,1000000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_90918603_81_L=2,N=576,activation=atan,batch_size=3232,lr=0.0099,lr_scheduler=ExponentialLR-0_95,num_points=1000000_2023-06-15_18-47-00",True
81,7.0,1.061061143875122,1209.30075,1203.906,0.1766992349414853,0.0059499999999999,0.6370823383331299,False,,,7,68c3a2e8,a6d407c443ee420d9564ce566a3ec65a,2023-06-15_18-47-10,1686844030,1.556365966796875,64306,ds28,192.168.3.128,1.556365966796875,0,7,0.0051391124725341,2,192,sigmoid,512,0.011899999999999999,ReduceLROnPlateau-0.5-2,10000,"/net/110-33034-1913.cc.spbu.ru/home/st082196/cuda-helm/ray_results/ndims=5,BOHB/trainable_68c3a2e8_82_L=2,N=192,activation=sigmoid,batch_size=512,lr=0.0119,lr_scheduler=ReduceLROnPlateau-0_5-2,num_points=10000_2023-06-15_18-47-08",
